"id","dob","sex"
"1","19430914","M"
"2","19470522","M"
"3","19500107","M"
"4","19520402","M"
"5","19521203","W"
"6","19530225","M"
"7","19530317","W"
"8","19530524","M"
"9","19530721","M"
"10","19531219","W"
"11","19540117","M"
"12","19540424","W"
"13","19551203","W"
"14","19551218","M"
"15","19560801","M"
"16","19570110","W"
"17","19570117","W"
"18","19570223","W"
"19","19570512","M"
"20","19570514","M"
"21","19571220","M"
"22","19580218","W"
"23","19580428","W"
"24","19580427","M"
"25","19580603","M"
"26","19580829","M"
"27","19581002","W"
"28","19581121","W"
"29","19590320","M"
"30","19590521","W"
"31","19590530","M"
"32","19590609","M"
"33","19590915","M"
"34","19591203","M"
"35","19591204","W"
"36","19591204","W"
"37","19591214","W"
"38","19591231","W"
"39","19600209","M"
"40","19600308","M"
"41","19600416","W"
"42","19600420","W"
"43","19600522","W"
"44","19600527","W"
"45","19600522","W"
"46","19600622","M"
"47","19600718","M"
"48","19601002","M"
"49","19601008","W"
"50","19601023","W"
"51","19601112","W"
"52","19601117","M"
"53","19601212","W"
"54","19601230","M"
"55","19610423","W"
"56","19610518","M"
"57","19610709","W"
"58","19610817","M"
"59","19610824","M"
"60","19610906","M"
"61","19610917","M"
"62","19611028","M"
"63","19611205","M"
"64","19620105","W"
"65","19620114","W"
"66","19620204","M"
"67","19620128","M"
"68","19620312","W"
"69","19620428","W"
"70","19620501","M"
"71","19620521","W"
"72","19620703","W"
"73","19620722","W"
"74","19620803","W"
"75","19620804","M"
"76","19620802","W"
"77","19620905","M"
"78","19620922","M"
"79","19621118","M"
"80","19621120","M"
"81","19621203","M"
"82","19621221","W"
"83","19621224","M"
"84","19621229","W"
"85","19630110","M"
"86","19630118","W"
"87","19630129","W"
"88","19630206","W"
"89","19630214","M"
"90","19630426","W"
"91","19630509","M"
"92","19630602","M"
"93","19630527","M"
"94","19630605","W"
"95","19630619","M"
"96","19630609","M"
"97","19630617","M"
"98","19630622","W"
"99","19630823","W"
"100","19630815","M"
"101","19630907","M"
"102","19630923","M"
"103","19630927","M"
"104","19630930","M"
"105","19631004","W"
"106","19631008","M"
"107","19631102","M"
"108","19631107","W"
"109","19631112","M"
"110","19631126","M"
"111","19631206","M"
"112","19631213","W"
"113","19631228","W"
"114","19631226","W"
"115","19640115","M"
"116","19640120","W"
"117","19640122","W"
"118","19640213","M"
"119","19640220","M"
"120","19640331","W"
"121","19640414","M"
"122","19640421","M"
"123","19640426","W"
"124","19640509","W"
"125","19640609","W"
"126","19640617","W"
"127","19640620","M"
"128","19640706","W"
"129","19640716","M"
"130","19640715","W"
"131","19640905","W"
"132","19640901","M"
"133","19640918","M"
"134","19641015","M"
"135","19641105","W"
"136","19641110","M"
"137","19641224","M"
"138","19641229","M"
"139","19650109","W"
"140","19650208","M"
"141","19650308","W"
"142","19650317","W"
"143","19650312","W"
"144","19650402","W"
"145","19650414","W"
"146","19650412","M"
"147","19650418","M"
"148","19650513","M"
"149","19650523","M"
"150","19650528","M"
"151","19650614","M"
"152","19650615","M"
"153","19650626","M"
"154","19650710","W"
"155","19650716","M"
"156","19650815","M"
"157","19650912","M"
"158","19650925","M"
"159","19650917","W"
"160","19650926","M"
"161","19650928","W"
"162","19651003","M"
"163","19651001","M"
"164","19651009","W"
"165","19651009","W"
"166","19651024","W"
"167","19651101","M"
"168","19651210","M"
"169","19651208","M"
"170","19651215","W"
"171","19660101","M"
"172","19660102","M"
"173","19660121","W"
"174","19660205","W"
"175","19660128","M"
"176","19660222","W"
"177","19660304","W"
"178","19660314","M"
"179","19660316","M"
"180","19660404","M"
"181","19660423","W"
"182","19660505","M"
"183","19660501","M"
"184","19660501","M"
"185","19660511","W"
"186","19660612","W"
"187","19660618","M"
"188","19660625","M"
"189","19660717","M"
"190","19660720","W"
"191","19660815","M"
"192","19660826","M"
"193","19660828","M"
"194","19660908","M"
"195","19660905","M"
"196","19661001","M"
"197","19661019","M"
"198","19661025","W"
"199","19661102","W"
"200","19661215","W"
"201","19661212","M"
"202","19661219","W"
"203","19661226","M"
"204","19661225","M"
"205","19670106","M"
"206","19670119","W"
"207","19670118","W"
"208","19670117","W"
"209","19670121","W"
"210","19670204","M"
"211","19670214","M"
"212","19670220","W"
"213","19670325","W"
"214","19670402","M"
"215","19670329","M"
"216","19670414","M"
"217","19670417","M"
"218","19670419","M"
"219","19670420","M"
"220","19670420","M"
"221","19670514","W"
"222","19670508","W"
"223","19670528","M"
"224","19670614","W"
"225","19670620","M"
"226","19670722","M"
"227","19670830","M"
"228","19670917","W"
"229","19670924","W"
"230","19671103","M"
"231","19671107","M"
"232","19671110","W"
"233","19671117","W"
"234","19671204","W"
"235","19671216","M"
"236","19671216","M"
"237","19680121","M"
"238","19680128","M"
"239","19680131","M"
"240","19680224","W"
"241","19680228","M"
"242","19680304","M"
"243","19680303","M"
"244","19680318","W"
"245","19680320","M"
"246","19680317","M"
"247","19680324","M"
"248","19680328","M"
"249","19680414","W"
"250","19680517","W"
"251","19680612","M"
"252","19680621","M"
"253","19680719","W"
"254","19680724","M"
"255","19680717","M"
"256","19680827","M"
"257","19680831","W"
"258","19680919","M"
"259","19681006","M"
"260","19681011","M"
"261","19681008","M"
"262","19681018","W"
"263","19681014","M"
"264","19681024","W"
"265","19681026","M"
"266","19681102","M"
"267","19681106","M"
"268","19681114","W"
"269","19681113","W"
